Epoch,Ep_Reward
0.0,-96.75721010221045
1.0,-117.00472148882396
2.0,-376.6820844611734
3.0,-90.74429570005906
4.0,-62.21843006785946
5.0,-60.790481322950136
6.0,-140.41647628037032
7.0,-110.9341121988666
8.0,-235.80643303857812
9.0,-71.91964966969682
10.0,-140.90104593633436
11.0,-127.79539249921808
12.0,-143.39608658793867
13.0,-212.58395685152726
14.0,-392.84316285022203
15.0,-177.90203280813012
16.0,4.235305542698455
17.0,-68.87894765856399
18.0,-311.98396176807444
19.0,-168.59148184900846
20.0,-105.03300639823821
21.0,-111.71194484719129
22.0,-150.3605410287621
23.0,-20.848640241431525
24.0,-92.25481752866946
25.0,-354.18065941283203
26.0,-75.2057561831553
27.0,-377.48688003959757
28.0,-93.3202570811394
29.0,-395.46082081617106
30.0,-330.3420263964028
31.0,-468.75125834493826
32.0,-290.20514392606657
33.0,-377.14249840278677
34.0,-379.0078396420281
35.0,-296.7178568932959
36.0,7.605667933767606
37.0,-322.68993726508523
38.0,-53.76999714560574
39.0,-258.80318205197364
40.0,-358.4246070214406
41.0,-400.90860810945236
42.0,-2.456994299756971
43.0,-407.74821876321505
44.0,-351.73368912306455
45.0,-330.625853232903
46.0,-250.10785651930092
47.0,-362.67092910451356
48.0,-447.6075062378653
49.0,-330.83770892109976
50.0,-124.1592677908287
51.0,-211.8423381930188
52.0,-532.483490126278
53.0,-276.83647117800666
54.0,-457.5504989460282
55.0,-519.2568412295725
56.0,-395.96276193316015
57.0,-343.5393826597351
58.0,-459.65473413374554
59.0,-557.7184062211757
60.0,-402.14253143435826
61.0,-370.4459203403252
62.0,-503.3447617337309
63.0,-614.0806423500006
64.0,-666.1053550211385
65.0,-669.0363738115186
66.0,-598.3858615722253
67.0,-348.1835824202242
68.0,-392.37168191953106
69.0,-28.318836976297902
70.0,-265.3861058411182
71.0,-585.6190492953672
72.0,-328.6893241655635
73.0,-696.0444143330571
74.0,-537.8520212323613
75.0,-574.8577955493505
76.0,-573.8570346936074
77.0,-445.32015131403836
78.0,-413.1862989129403
79.0,-494.3200959911253
80.0,-531.3608620023733
81.0,-620.1398999759326
82.0,-605.9087229677453
83.0,-326.62512373397647
84.0,-551.9531518198415
85.0,-525.8469811991085
86.0,-514.8522512737238
87.0,-363.3176448857406
88.0,-751.2560226980925
89.0,-607.2337749569492
90.0,-538.3607244282038
91.0,-378.3117279803324
92.0,-596.2996975256541
93.0,-456.56272695200323
94.0,-597.7387091320352
95.0,-540.9015907032025
96.0,-495.7765179545307
97.0,-771.6648623150971
98.0,-418.8865498790908
99.0,-275.6363534650877
100.0,-511.35552076918293
101.0,-609.9031440691559
102.0,-655.2540490566861
103.0,-362.62624639097487
104.0,-583.908538633548
105.0,-549.3290644552833
106.0,-679.1267945128416
107.0,-555.2418999220811
108.0,-563.14819599576
109.0,-444.15302968138633
110.0,-424.75056928257226
111.0,-500.248290354539
112.0,-464.50025821906434
113.0,-624.5425266097917
114.0,-541.2866054098681
115.0,-541.3981337891355
116.0,-601.1110068995183
117.0,-663.3875091066392
118.0,-340.56872584740074
119.0,-530.3288574782557
120.0,-638.3136035847851
121.0,-489.2950778931131
122.0,-624.3597444047945
123.0,-684.1450543420523
124.0,-399.0391672108266
125.0,-498.29023806468405
126.0,-516.535364253462
127.0,-508.1887552627802
128.0,-476.4589972236559
129.0,-347.14422582822647
130.0,-244.258809393178
131.0,-548.2921992521124
132.0,-448.6472671991401
133.0,-622.4237029587305
134.0,-519.1471792300398
135.0,-405.6923780404421
136.0,-417.4818742133097
137.0,-457.1047045125
138.0,-588.9784937092311
139.0,-671.4610767669454
140.0,-333.9258127959708
141.0,-658.721178080925
142.0,-805.9429602008585
143.0,-507.55073809648525
144.0,-497.8954788015935
145.0,-559.9808546357251
